,comment,clean,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
311,Sudah ada yg dikasih info mobilisasi sama Mitra nya?,sudah ada yang dikasih informasi mobilisasi sama mitra nya,Netral,Netral,Netral,neutral,neutral
312,Di sni ada yg keterima magang di PT. Ars Indonesia?,di sini ada yang keterima magang di pt ars indonesia,Netral,Netral,Netral,neutral,neutral
313,@farhan.abdulah_ 4 bulan,bulan,Netral,Negatif,Netral,negative,neutral
314,@capybaraonlyd udh ada info kak?,sudah ada informasi kak,Netral,Netral,Netral,neutral,neutral
315,Batch gagal,batch gagal,Negatif,Negatif,Negatif,negative,negative
316,@dndaaaws_ buzzer itu yang nyalahin mahasiswa,buzzer itu yang menyalahkan mahasiswa,Netral,Negatif,Negatif,negative,negative
317,@ooo_adhe saya,saya,Netral,Positif,Negatif,positive,negative
318,"@hanana0_ Bener, misal nih mereka kekeh mau berkas jadi hal krusial minimal dikasih info yang jelas lah ya😂",benar misal ini mereka kekeh mau berkas jadi hal krusial minimal dikasih informasi yang jelas lah iya,Positif,Netral,Netral,negative,neutral
319,@kriscokk magang msib biasanya brp lama bang?,magang msib biasanya berapa lama bang,Negatif,Netral,Netral,neutral,neutral
320,"@bro.swryz ini seleksi kek percuma gtu (menurut gua), skill sm keahlian kita bukan lah hal yang utama melainkan ke egilible an berkas lah yg menjadi syarat utama, aneh kali 😂",ini seleksi kayak percuma begitu menurut saya skill sama keahlian kita bukan lah hal yang utama melainkan ke egilible an berkas lah yang menjadi syarat utama aneh kali,Negatif,Negatif,Negatif,negative,negative
321,"@agusselvana yang berhak menentukan mahasiswa dapat kesempatan untuk tes atau wawancara kan mitra, sebagai mitra pasti mereka melakukan seleksi administrasi dulu berupa pengecekan kualifikasi dan cv. Apabila sesuai dengan yang dicari mitra maka akan dilanjutkan ke tahap wawancara. Kalau semuanya diberi kesempatan tes dan wawancara langsung, apa gunanya ada CV dan kualifikasi? Mungkin yang tidak dapat panggilan itu adalah orang yang tidak sesuai kualifikasi atau CVnya kurang menarik dimata recruiter",yang berhak menentukan mahasiswa dapat kesempatan untuk tes atau wawancara kan mitra sebagai mitra pasti mereka melakukan seleksi administrasi dulu berupa pengecekan kualifikasi dan cv apabila sesuai dengan yang dicari mitra maka akan dilanjutkan ke tahap wawancara kalau semuanya diberi kesempatan tes dan wawancara langsung apa gunanya ada cv dan kualifikasi mungkin yang tidak dapat panggilan itu adalah orang yang tidak sesuai kualifikasi atau cvnya kurang menarik dimata recruiter,Positif,Negatif,Negatif,negative,negative
322,"@rizkiagung.id Alhamdulillah sih saingan 0,00001% berkurang haha",alhamdulillah sih saingan berkurang tertawa,Netral,Positif,Negatif,positive,neutral
323,Izin tanya min kalau Di Tertera Ikut MSIB Minimal kan semester 5 Apakah Semester 6 Boleh ikut MSIB Dan Kapan Ada Pendaftaran lagi ?,izin tanya min kalau di tertera ikut msib minimal kan semester apakah semester boleh ikut msib dan kapan ada pendaftaran lagi,Negatif,Netral,Netral,neutral,neutral
324,"@babu_abu_abu dari kemarin balas nya itu teruss adminnya, jadu saya terpaksa ambil SI.",dari kemarin balas nya itu terus adminnya jadi saya terpaksa ambil sih,Negatif,Negatif,Negatif,neutral,negative
325,@ali_supardi13 ada bang batas waktu mah. Ya seenggaknya proses sampe matahari terbit dr barat,ada bang batas waktu mah iya seenggaknya proses sampai matahari terbit dari barat,Negatif,Positif,Netral,negative,negative
326,"@babu_abu_abu tenang masih ada waktu,, kemarin-kemarin saya cht web nya terus. Katanya sedang proses seleksi sampai batas waktu yang tidak dibatasi.",tenang masih ada waktu kemarinkemarin saya cht web nya terus katanya sedang proses seleksi sampai batas waktu yang tidak dibatasi,Positif,Netral,Netral,negative,neutral
327,@ali_supardi13 yg penting keterima bang. Banyak dr kami yg nihil,yang penting keterima bang banyak dari kami yang nihil,Positif,Negatif,Netral,neutral,negative
328,"@meyhwaap syp yg nyalahin neneknya pak nadiem soal status pendaftaran? Cuma kecewa aja sih harusnya klo udh punya kandidat yg cukup tpi males reject satu2, mitra disediain sistem tolak otomatis. Pendaftar jg g usah ngrep kelamaan. Lagian banyak mitra yg d depan ngomong 'klo g lolos ttp dikasih email penolakan' nyatanya sampe skrg g ada jg",siapa yang menyalahkan neneknya pak nadiem soal status pendaftaran cuma kecewa saja sih harusnya kalau sudah punya kandidat yang cukup tapi malas reject satu2 mitra disediain sistem tolak otomatis pendaftar juga tidak perlu ngrep kelamaan lagian banyak mitra yang di depan mengomong kalau tidak lolos tetap dikasih email penolakan nyatanya sampai sekarang tidak ada juga,Negatif,Negatif,Negatif,negative,negative
329,"Terpaksa mengambil Studi Independen, hanya karena di kejar dengan deadline waktu.. Huft ga ada kejelasan! 🙌 kecewa min kecewa.",terpaksa mengambil studi independen hanya karena di kejar dengan deadline waktu mengeluh tidak ada kejelasan kecewa min kecewa,Negatif,Negatif,Negatif,negative,negative
330,"Saya kecewa banget min, 🙌suerr kecewa banget sama MSIB 4.",saya kecewa banget min suerr kecewa banget sama msib,Negatif,Negatif,Negatif,negative,negative
331,@bro.swryz serasa akun klarifikasi ini wkwkwkwkw😂,serasa akun klarifikasi ini wkwkwkwkw,Netral,Negatif,Netral,negative,negative
332,"@theresiaaclaudiaa sama kak, aku udh offering trs masuk grup mitra, eh katanya ada kabar nunggu keputusan final tgl 15 besok, kan jadi waswas ya berasa dimainin terus",sama kak aku sudah offering terus masuk grup mitra eh katanya ada kabar menunggu keputusan final tanggal besok kan jadi waswas iya berasa dimainin terus,Netral,Netral,Netral,negative,negative
333,"@faakersss_ Padahal gua juga ada temen seperjuangan yg ga eligible, kami sama2 udah masuk grup mitra juga dan sama² banding. Eh syukur banding dia berhasil tp gw kagak, walaupun dia lolos tp tetep punya empati karena tau kejadian di lapangan kek gimana. Respek sm org² yg gitu. Sedih aja sih kalau kita kasih kritik gini malah tambah disudutkan sama mereka yang lolos padahal juga blm tentu kami ini yang ga lolos beneran salah dan ga kompeten secara skill😂",padahal saya juga ada teman seperjuangan yang tidak eligible kami sama-sama sudah masuk grup mitra juga dan sama banding eh syukur banding dia berhasil tapi saya tidak walaupun dia lolos tapi tetap punya empati karena tahu kejadian di lapangan kayak bagaimana respek sama orang yang begitu sedih saja sih kalau kita kasih kritik begini bahkan tambah disudutkan sama mereka yang lolos padahal juga belum tentu kami ini yang tidak lolos benaran salah dan tidak kompeten secara skill,Netral,Negatif,Negatif,negative,negative
334,@bro.swryz mungkin dia lolos😂makanya nyantai wkwkwkwkwk,mungkin dia lolosmakanya nyantai wkwkwkwkwk,Netral,Negatif,Netral,positive,negative
335,@capybaraonlyd  aku yang nanya kak hehehe,aku yang bertanya kak hehehe,Netral,Netral,Netral,neutral,neutral
336,@ooo_adhe ada aku ketrima bg,ada aku diterima bang,Netral,Positif,Netral,neutral,positive
337,@theresiaaclaudiaa samaa woi berasa lbh ribet magang ketimbang ngelamar kerja,sama woi berasa lebih ribet magang ketimbang melamar kerja,Netral,Negatif,Negatif,negative,negative
338,"@devsely tetep semangat dev, xoxo siap 🙌🔥",tetap semangat dev xoxo siap,Positif,Positif,Positif,positive,neutral
339,"Gua kira yg udh pada terima tawaran, berkasnya udah aman dan eligible. Kenapa tiba tiba beda lagi yak alurnya. Pusing woy.",saya kira yang sudah pada terima tawaran berkasnya sudah aman dan eligible kenapa tiba tiba beda lagi iya alurnya pusing woy,Positif,Negatif,Negatif,negative,negative
340,"Woi, mo nanya ini kenapa alur kampus merdeka berantakan yak? Denger denger udh pada dapat offering di website, udh klik terima tawaran. Tp ktny yg terima tawaran msh hrs lewatin verifikasi berkas kembali, lah maksudnya gimana. Anda mau php in mahasiswa/i nya? Duh lelah ama kelakuan kalian dari masalah berkas, banding, kemudian kemarin masalah survei kebinekaan, sekarang balik lagi ke masalah berkas. Ini tim nya memang tidak siap atau bgmn? Pengalaman di cycle sebelumnya emgnya seberantakan ini?",woi mau bertanya ini kenapa alur kampus merdeka berantakan iya dengar dengar sudah pada dapat offering di website sudah klik terima tawaran tapi katanya yang terima tawaran masih harus lewatin verifikasi berkas kembali lah maksudnya bagaimana anda mau php ini mahasiswai nya aduh lelah sama kelakuan kalian dari masalah berkas banding kemudian kemarin masalah survei kebinekaan sekarang balik lagi ke masalah berkas ini tim nya memang tidak siap atau bagaimana pengalaman di cycle sebelumnya emgnya seberantakan ini,Negatif,Negatif,Negatif,negative,negative
341,kak izin bertanya saya kan lulus studi independen terus saya gak dapat informasi untuk gabung di grup whatsapp sedangkan teman saya sudah bergabung?,kak izin bertanya saya kan lulus studi independen terus saya tidak dapat informasi untuk gabung di grup whatsapp sedangkan teman saya sudah bergabung,Netral,Netral,Netral,neutral,neutral
342,Bintang 1,bintang,Netral,Positif,Positif,positive,positive
343,@yourfavseeker iya cuman kecewa aja 😢,iya cuman kecewa saja,Negatif,Negatif,Negatif,negative,negative
344,@kezyameystika_ ini kakak biasanya berhubungan sama mitra lewat apa kak? email/wa? mungkin bisa difollow up langsung aja tanyain grupnya,ini kakak biasanya berhubungan sama mitra lewat apa kak emailwa mungkin bisa difollow up langsung saja tanyakan grupnya,Negatif,Netral,Netral,neutral,neutral
345,@agusselvana ibarat kata mah lempar batu sembunyi tangan,ibarat kata mah lempar batu sembunyi tangan,Netral,Negatif,Negatif,negative,neutral
346,"Kepada pengurus kampus merdeka, Apakah betul pengumuman diterima / tidaknya itu terakhir tgl 15 Feb 2023?. Setidaknya pihak penyelenggara memberikan tanggapan/ jawaban  kepada mahasiswa yg sudah melamar magang, jangan mereka digantung dgn status diproses. 
Sebetulnya seleksinya mitra itu dgn melihat kriteria mahasiswa yg bgmn ? kok masih byk mahasiswa yg protes tdk ada panggilan wawancara..Walau surat sudah lengkap,  sudah memenuhi syarat, sudah ikut survey kebhinekaan, harusnya semua yg terdaftar setidaknya semua diberi kesempatan untuk wawancara, layaknya org ikut test ,semua yg terdaftar diberi kesempatan menunjukan kemampuannya. Baru kemudian ditentukan siapa yg lolos. 
Kalo sistemnya seperti ini, ada yg dipanggil dan ada yg tidak sama sekali , hal ini jelas jelas tdk ada keadilan, buat apa daftar dan menyia nyiakan waktu. Terus terang demi untuk ikut magang ini ,anak saya melewatkan kesempatan lulus 7 semester. Semoga kekecewaan kami ini dapat tanggapan dr pengurus Kampus merdeka.",kepada pengurus kampus merdeka apakah betul pengumuman diterima tidaknya itu terakhir tanggal feb setidaknya pihak penyelenggara memberikan tanggapan jawaban kepada mahasiswa yang sudah melamar magang jangan mereka digantung dengan status diproses sebetulnya seleksinya mitra itu dengan melihat kriteria mahasiswa yang bagaimana kok masih banyak mahasiswa yang protes tidak ada panggilan wawancarawalau surat sudah lengkap sudah memenuhi syarat sudah ikut survey kebhinekaan harusnya semua yang terdaftar setidaknya semua diberi kesempatan untuk wawancara layaknya orang ikut test semua yang terdaftar diberi kesempatan menunjukan kemampuannya baru kemudian ditentukan siapa yang lolos kalau sistemnya seperti ini ada yang dipanggil dan ada yang tidak sama sekali hal ini jelas jelas tidak ada keadilan buat apa daftar dan menyia nyiakan waktu terus terang demi untuk ikut magang ini anak saya melewatkan kesempatan lulus semester semoga kekecewaan kami ini dapat tanggapan dari pengurus kampus merdeka,Negatif,Negatif,Negatif,negative,negative
347,"gua udah pengalaman ngurus berpulih2 bahkan ratusan client dr luar negeri sampe ke agensi besar sebagai music director, music producer, apalah bebas lu mau sebut bebas yg penting berkaitan sm music production.
daftar program magang sebagai music director yg requirementsnya bikin gua pede lolos, tapi semenjak daftar dighosting doang hahaha (rata2 magang begini kt tmn gue).
gua daftar studi indenpenden dan alhamdulillah keterima, jdnya ya ngambil studi indenpenden.
tapi kecewa aja sama mitra2 magang, dighosting kaga jelas semua.",saya sudah pengalaman mengurus berpulih2 bahkan ratusan client dari luar negeri sampai ke agensi besar sebagai music director music producer apalah bebas kamu mau sebut bebas yang penting berkaitan sama music productiondaftar program magang sebagai music director yang requirementsnya bikin saya percaya diri lolos tapi semenjak daftar dighosting doang hahaha rata-rata magang begini kita teman guegua daftar studi indenpenden dan alhamdulillah keterima jdnya iya mengambil studi indenpendentapi kecewa saja sama mitra2 magang dighosting tidak jelas semua,Positif,Negatif,Negatif,negative,negative
348,"@justin_heilen @magangmerdeka Saran saya bagi tim msib buat batch 5 gaperlu pake website cukup google form dan konfirmasi lewat whatsapp saja. Evaluasi taun ini sistemnya banyak yg miss. Bahkan yg udah reject aja masih bisa dapet offering, ketika dikonfirmasi justru menyalahkan mitra. Harusnya peran sistem di sini sebagai decision making peserta bisa lolos atau tidak bukannya digantung seperti ini. Mungkin masukkan saya bisa dipertimbangkan untuk kembal8 memakai google form saja agar setara dengan bisnis jualan makanan saya yang baru merintis🙏🏻",saran saya bagi tim msib buat batch gaperlu pakai website cukup google form dan konfirmasi lewat whatsapp saja evaluasi tahun ini sistemnya banyak yang miss bahkan yang sudah reject saja masih bisa dapat offering ketika dikonfirmasi justru menyalahkan mitra harusnya peran sistem di sini sebagai decision making peserta bisa lolos atau tidak bukannya digantung seperti ini mungkin masukkan saya bisa dipertimbangkan untuk kembal8 memakai google form saja agar setara dengan bisnis jualan makanan saya yang baru merintis,Positif,Negatif,Negatif,negative,negative
349,"Kak izin bertanya, kalau ikut Studi independen kan tidak mendapatkan insentif/dana dr pemerintah, jadi bagi mahasiswa KIP-K yg ikut Studi Independen apakah uang KIP akan tetap cair?",kak izin bertanya kalau ikut studi independen kan tidak mendapatkan insentifdana dari pemerintah jadi bagi mahasiswa kipk yang ikut studi independen apakah uang kip akan tetap cair,Netral,Netral,Netral,neutral,neutral
350,@bhrll2022  kakk urusan status pendaftaran dari daftar > proses > diterima > tidak lolos itu yang bisa mengubah itu hanya mitra/tim recruiter dan bukan urusan kampus merdekanya. Denger-denger status yg masih “proses” smpe sekarang dan gak diganti “tidak lolos” itu karena emang dari mitranya yng males buat pencetin “tidak lolos” itu karena saking banyaknya yg daftar jadi di biarin aja. Sebelumnya aku pernah liat kok di tiktok ada orang yang emang gak lolos di salah satu mitra dan tulisannya “tidak lolos” jadi itu tergantung si mitranya aja yg mau ubah statusnya apa gak. Makasihh,kak urusan status pendaftaran dari daftar proses diterima tidak lolos itu yang bisa mengubah itu hanya mitratim recruiter dan bukan urusan kampus merdekanya dengerdenger status yang masih proses sampai sekarang dan tidak diganti tidak lolos itu karena memang dari mitranya yang malas buat pencetin tidak lolos itu karena saking banyaknya yang daftar jadi di biarkan saja sebelumnya aku pernah lihat kok di tiktok ada orang yang memang tidak lolos di salah satu mitra dan tulisannya tidak lolos jadi itu tergantung sih mitranya saja yang mau ubah statusnya apa tidak makasihh,Positif,Negatif,Negatif,negative,negative
351,@meyhwaap  baik kak terimakasih,baik kak terimakasih,Positif,Netral,Netral,positive,positive
352,@rachel.marla  kakk urusan status pendaftaran dari proses > diterima > tidak lolos itu yang bisa mengubah itu hanya mitranya dan bukan urusan kampus merdekanya. Denger-denger status yg masih “proses” smpe sekarang dan gak diganti “tidak lolos” itu karena emang dari mitranya yng males buat pencetin “tidak lolos” itu karena saking banyaknya yg daftar jadi di biarin aja. Sebelumnya aku pernah liat kok di tiktok ada orang yang emang gak lolos di salah satu mitra dan tulisannya “tidak lolos” jadi itu tergantung si mitranya aja yg mau ubah statusnya apa gak. Makasihh,kak urusan status pendaftaran dari proses diterima tidak lolos itu yang bisa mengubah itu hanya mitranya dan bukan urusan kampus merdekanya dengerdenger status yang masih proses sampai sekarang dan tidak diganti tidak lolos itu karena memang dari mitranya yang malas buat pencetin tidak lolos itu karena saking banyaknya yang daftar jadi di biarkan saja sebelumnya aku pernah lihat kok di tiktok ada orang yang memang tidak lolos di salah satu mitra dan tulisannya tidak lolos jadi itu tergantung sih mitranya saja yang mau ubah statusnya apa tidak makasihh,Positif,Negatif,Negatif,negative,negative
353,@julius_trbb99 kakk urusan status pendaftaran dari proses > diterima > tidak lolos itu yang bisa mengubah itu hanya mitranya dan bukan urusan kamlus merdekanya. Denger-denger status yg masih “proses” smpe sekarang dan gak diganti “tidak lolos” itu karena emang dari mitranya yng males buat pencetun/apptove “tidak lolos” iyu karena saking banyaknya yg daftar jadi di biarin aja. Sebelumnya aku pernah liat kok di tiktok ada orang yang emang gak lolos dan tulisannya “tidak lolos” jadi itu tergantung si mitranya aja yg mau ubah statusnya apa gak. Makasihh,kak urusan status pendaftaran dari proses diterima tidak lolos itu yang bisa mengubah itu hanya mitranya dan bukan urusan kamlus merdekanya dengerdenger status yang masih proses sampai sekarang dan tidak diganti tidak lolos itu karena memang dari mitranya yang malas buat pencetunapptove tidak lolos iyu karena saking banyaknya yang daftar jadi di biarkan saja sebelumnya aku pernah lihat kok di tiktok ada orang yang memang tidak lolos dan tulisannya tidak lolos jadi itu tergantung sih mitranya saja yang mau ubah statusnya apa tidak makasihh,Negatif,Negatif,Negatif,negative,negative
354,"@kezyameystika_ maaf bgt kak. Klo ini salah di mitranya bukan di kampus merdekanya. Untuk informasi invite group itukan urusan personal perusahaan, kampus merdekanya cuma sebagai penghubung aja. Coba kakak hubungin hrdnya terkait informasi lanjutannya deh.",maaf banget kak kalau ini salah di mitranya bukan di kampus merdekanya untuk informasi invite group itukan urusan personal perusahaan kampus merdekanya cuma sebagai penghubung saja coba kakak hubungin hrdnya terkait informasi lanjutannya deh,Negatif,Negatif,Netral,neutral,negative
355,@mhmzakkir.id dari kampus merdekanya dikasih kesempatan 2kali,dari kampus merdekanya dikasih kesempatan 2kali,Netral,Netral,Netral,neutral,neutral
357,"@weyguh yup i thinkn so,, ya semoga ya H-1 bisa ada tanda2 yg baik😅🙏🏽",iya i thinkn sok iya semoga iya h1 bisa ada tanda2 yang baik,Positif,Positif,Netral,negative,positive
358,"@bhrll2022 selama sapi blm bertelor, masih diproses kak",selama sapi belum bertelor masih diproses kak,Negatif,Netral,Netral,negative,neutral
359,"@sonofspider Kebiasaan menormalisasi kesalahan, mencari pembenaran dr kesalahan orang lain. Sering bgt tipe orang kayak gini ditemui di masyarakat. Kalau ditegur malah cari kesalahan orang lain karena merasa ga terima",kebiasaan menormalisasi kesalahan mencari pembenaran dari kesalahan orang lain sering banget tipe orang kayak begini ditemui di masyarakat kalau ditegur bahkan cari kesalahan orang lain karena merasa tidak terima,Netral,Negatif,Negatif,negative,negative
360,udah berharap bngt lolos malah sr rejected 🥹,sudah berharap banget lolos bahkan sr rejected,Netral,Positif,Negatif,negative,negative
361,@yourfavseeker gaada tahapan seleksi berkas di akhir,enggak ada tahapan seleksi berkas di akhir,Netral,Netral,Netral,neutral,neutral
362,"@yunpnzr mental macam apa ini. Kesalahannya jelas di pihak panitia, malah nyalahin mental peserta buat siap2 ntar dunis kerja lebih parah. Bukannya nyalahin yg salah malah ke peserta. Bahkan ada UNJ aja ga dapet sosialisasi dri msib sampe2 seluruh mahasiswanya gaada yg bisa daftar😂",mental macam apa ini kesalahannya jelas di pihak panitia bahkan menyalahkan mental peserta buat siap2 entar dunis kerja lebih parah bukannya menyalahkan yang salah bahkan ke peserta bahkan ada unj saja tidak dapat sosialisasi dari msib sampe2 seluruh mahasiswanya enggak ada yang bisa daftar,Positif,Negatif,Negatif,negative,negative
363,@dekara.ninsa wkwkwkwk.... Ternyata beneran butuh ke psikolog at least belajar TPS,wkwkwkwk ternyata benaran butuh ke psikolog at least belajar tps,Negatif,Negatif,Netral,negative,negative
364,Disitu saya karang merasa sedih .. digantung tanpa kepastian.. gimana buat panitia penyelenggara gak ada informasi yg jelas,disitu saya karang merasa sedih digantung tanpa kepastian bagaimana buat panitia penyelenggara tidak ada informasi yang jelas,Negatif,Negatif,Negatif,negative,negative
365,@ryanh_aldebaran lah gw cuma ngomongin tmn gw doang wkkwkw. Buset lgsg bawa bawa psikolog ngakak bgt dah 😂😂,lah saya cuma mengomongkan teman saya doang wkkwkw buset langsung bawa bawa psikolog mengakak banget deh,Positif,Negatif,Negatif,negative,negative
366,@justin_heilen @magangmerdeka Bukan kesalahan dari mahasiswanya! Mereka hanya memohon sptmj dan surat rekomendasi dari kampus masing-masing. Bahkan saya turut mencantumkan barcode dan cap resmi dari kampus saya. Namun tidak ada konfirmasi apa apa dari kampus merdeka jika memang sptmj dan surat rekomendasinya rejected! BANYAK KORBANNYA,bukan kesalahan dari mahasiswanya mereka hanya memohon sptmj dan surat rekomendasi dari kampus masingmasing bahkan saya turut mencantumkan barcode dan cap resmi dari kampus saya namun tidak ada konfirmasi apa apa dari kampus merdeka jika memang sptmj dan surat rekomendasinya rejected banyak korbannya,Positif,Negatif,Negatif,negative,negative
367,@justin_heilen @magangmerdeka Itu buat kami menunggu dan buat kami membuang2 waktu kami. Anda tau tidak kami berjuang sebulanan cuman buat nunggu hasil sampai kami ke rumah sakit utk minta surat keterangan sehat dan lain lain?. Tapi kenyataannya kami pada akhirnya tetap akan ditolak hanya karena kami tidak akan tahu jika berkas kami tidak eligible kalau tidak dari sistem hacking coding yang beredar di telegram. At least hubungi or konfirmasi ulang or update di sistem dari awal jika memang berkas kami ga eligible! Jadi kita gaperlu menunggu dan membuang2 waktu sampai sebulanan! Banyak kasus yang seperti ini! Akibat dari sistem anda yang bobrok menulis “DIPROSES” or “MASIH DALAM SELEKSI” padahal jelas2 mahasiswa tersebut tidak akan diterima akibat berkas yang tidak eligible tadi! Tapi tidak ada konfirmasinya sama sekali kalau bukan karena kita yang cari2 cara untuk coding!!!. Banyak tau ga yang kita korbankan cuman demi menunggu hasil seleksi namun ternyata ditipu by sistem yg bilang status kita dalam seleksi pdhl udh jelas2 rejected by sistem!,itu buat kami menunggu dan buat kami membuang2 waktu kami anda tahu tidak kami berjuang sebulanan cuman buat menunggu hasil sampai kami ke rumah sakit untuk meminta surat keterangan sehat dan lain lain tapi kenyataannya kami pada akhirnya tetap akan ditolak hanya karena kami tidak akan tahu jika berkas kami tidak eligible kalau tidak dari sistem hacking coding yang beredar di telegram at least hubungi orang konfirmasi ulang orang update di sistem dari awal jika memang berkas kami tidak eligible jadi kita gaperlu menunggu dan membuang2 waktu sampai sebulanan banyak kasus yang seperti ini akibat dari sistem anda yang bobrok menulis diproses orang masih dalam seleksi padahal jelas-jelas mahasiswa tersebut tidak akan diterima akibat berkas yang tidak eligible tadi tapi tidak ada konfirmasinya sama sekali kalau bukan karena kita yang cari-cari cara untuk coding banyak tahu tidak yang kita korbankan cuman demi menunggu hasil seleksi namun ternyata ditipu by sistem yang bilang status kita dalam seleksi padahal sudah jelas-jelas rejected by sistem,Negatif,Negatif,Negatif,negative,negative
368,"Dear kampus merdeka yang terhormat.
Tolong ya sistemnya diperbaiki. Masa status di kegiatanku masih diproses mulu dan dapet email dari mitra kalau lolos berkas. Tapi pas di cek by sistem (dapet info cara coding sistem dari telegram) itu rejected sptmj dan surat rekomendasinya. Pantesan ya saya udah dapet email offering dan email reject dari mitra tapi status di kegiatanku masih “diproses” seakan2 kita masih dalam proses seleksi dengan tulisan “kamu masih dalam proses seleksi” maksudnya apa ya? Teman2 saya jika dapet offering by email or reject by mitra itu statusnya langsung terupdate di status kegiatankunya. Nah kalau memang penyebabnya karena berkas tidak eligible tolong dong diberitahukan ke mahasiswanya. Jangan di tulis “diproses” or “masih dalam proses seleksi” kalau emang dari awal aja kita udh jelas jelas pasti ketolak karena berkas yang ga eligible tadi.",dear kampus merdeka yang terhormattolong iya sistemnya diperbaiki masa status di kegiatanku masih diproses melulu dan dapat email dari mitra kalau lolos berkas tapi pas di cek by sistem dapat informasi cara coding sistem dari telegram itu rejected sptmj dan surat rekomendasinya pantesan iya saya sudah dapat email offering dan email reject dari mitra tapi status di kegiatanku masih diproses seakan2 kita masih dalam proses seleksi dengan tulisan kamu masih dalam proses seleksi maksudnya apa iya teman-teman saya jika dapat offering by email orang reject by mitra itu statusnya langsung terupdate di status kegiatankunya nah kalau memang penyebabnya karena berkas tidak eligible tolong dong diberitahukan ke mahasiswanya jangan di tulis diproses orang masih dalam proses seleksi kalau memang dari awal saja kita sudah jelas jelas pasti ketolak karena berkas yang tidak eligible tadi,Positif,Negatif,Negatif,negative,negative
369,Yg masih dalam status di proses apakah sudah pasti tidak lolos ya kk? Soalnya masih bingung status di proses ini apakah harus ikut kegiatan national onboarding ini atau ngga,yang masih dalam status di proses apakah sudah pasti tidak lolos iya kakak soalnya masih bingung status di proses ini apakah harus ikut kegiatan national onboarding ini atau tidak,Negatif,Netral,Netral,negative,negative
370,@rizkiagung.id gk ada yg rugi kalo ente gk ikut btw😂,tidak ada yang rugi kalau ente tidak ikut ngomong-ngomong,Negatif,Positif,Netral,positive,neutral
371,"@sonofspider semua penting, jangan anggap remeh setiap tahapan",semua penting jangan anggap remeh setiap tahapan,Positif,Positif,Netral,positive,neutral
372,@devsely tetap semangat🔥 walaupun kita tidak lolos tenang yang penting kita  udah berusaha mencoba sampai di titik akhir.,tetap semangat walaupun kita tidak lolos tenang yang penting kita sudah berusaha mencoba sampai di titik akhir,Positif,Positif,Netral,positive,neutral
373,@mokhasxh terbaik lanjutkan brash moga betah di Makassar,terbaik lanjutkan brash moga betah di makassar,Positif,Positif,Positif,positive,positive
374,"Katanya mau meningkatkan kualitas pendidikan, masalah yg macem berkas & simulasi ujian aja banyak kendala.... Terus sistem pemilihan ga jelas banget mana ga ada admin yg nanggepin pertanyaan lebih mending CS tokped responsif, harusnya kalo inj diawal2 dikasih tau di SnK tentang jumlah kuota lah...percuma juga si komen di lapak sini, sulit di kontrol semoga hari mu me..............",katanya mau meningkatkan kualitas pendidikan masalah yang macam berkas simulasi ujian saja banyak kendala terus sistem pemilihan tidak jelas banget mana tidak ada admin yang menanggapi pertanyaan lebih lebih baik cs tokped responsif harusnya kalau inj diawal2 dikasih tahu di snk tentang jumlah kuota lahpercuma juga sih komen di lapak sini sulit di kontrol semoga hari mu me,Positif,Negatif,Negatif,negative,negative
375,"@julius_trbb99 percuma bro, dari sekian banyak komentar, mimin nya tidak turun tangan menanggapi curhatan kita kita semua😂",percuma saudara laki-laki dari sekian banyak komentar admin nya tidak turun tangan menanggapi curhatan kita kita semua,Netral,Negatif,Negatif,negative,negative
376,"@weyguh iya benar sekali kawan, harusnya panitia atau tim pelaksana bisa memperhatikan hal ini🙏🏽",iya benar sekali kawan harusnya panitia atau tim pelaksana bisa memperhatikan hal ini,Positif,Netral,Netral,neutral,negative
377,Cung yang tiap hari nge cek platform MSIB sama email hingga sekarang ga ada kabar😢,cung yang tiap hari nge cek platform msib sama email hingga sekarang tidak ada kabar,Netral,Negatif,Netral,negative,negative
378,"Sabar ya gaes, ini masih tanggal 14 dan masih ada kesempatan ditanggal 15 sebelum tanggal 16 program dimulai 🙌",sabar iya gaes ini masih tanggal dan masih ada kesempatan ditanggal sebelum tanggal program dimulai,Netral,Netral,Netral,neutral,positive
379,"@julius_trbb99 setuju sihh, kalo diproses mulu kita kita yang berharap ini jadi serba salah, ada yg bilang gagal, ada yg bilang tunggu aja.",setuju sih kalau diproses melulu kita kita yang berharap ini jadi serba salah ada yang bilang gagal ada yang bilang tunggu saja,Netral,Negatif,Negatif,negative,negative
380,"@samsul.arf21 bener banget,  yang bisa rubah status tuh mitranya",benar banget yang bisa rubah status tuh mitranya,Positif,Netral,Netral,positive,negative
381,"@rachel.marla protes ke mitranya, yang bisa ubah tuh mitra xoxo",protes ke mitranya yang bisa ubah tuh mitra xoxo,Netral,Negatif,Negatif,neutral,negative
382,@devsely innallaha maashobirin yaa 🙌❤️,innallaha maashobirin iya,Netral,Positif,Netral,positive,positive
383,"@rasberryyeu_ di youtube kemarin aku ketemu kak, cari saja",di youtube kemarin aku ketemu kak cari saja,Netral,Netral,Netral,neutral,neutral
