comment,clean,label_manual,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
@nanasealfayeed gue udah reject aja masih dapet offering ketrima,reject offering terima,1,Netral,Negatif,Netral,neutral,negative
Yng udah offering diweb tetapi dbatalin gjadi offering gara2 berkas gak eliglibe cungF5,offering diweb dbatalin gjadi offering gara-gara berkas eliglibe cung,1,Netral,Negatif,Negatif,neutral,negative
"@yunpnzr Hadeh, udah dijelasin masih aja denial. Poinnya adalah kita menuntut keadilan soal seleksi berkas ini. Ada peserta yang awalnya direject lalu banding. Banding itu bukan revisi tapi recheck berkas karena merasa ga ada salah. Dan beberapa dari mereka khususnya di mitra gue ada 7 orang yang lolos banding. Logikanya brati berkas mereka yang tadinya dianggep salah itu seharusnya bener setelah didechek sama tim verifikasi msib. Sampai sini paham? Tapi kondisi di lapangan info banding ini tidak dideliver dengan baik dan ga semua peserta bisa ngajuin banding. Itu poinnya kenapa pada protes.",hadeh dijelasin denial poin tuntut adil seleksi berkas serta direject banding banding revisi recheck berkas salah mitra orang lolos banding logika brati berkas dianggep salah didechek tim verifikasi msib paham kondisi lapang informasi banding dideliver serta aju banding poin protes,0,Positif,Negatif,Negatif,neutral,negative
"Alhamdulillah, semoga dilancarkan untuk kita semua hingga graduation nanti Lû",alhamdulillah moga lancar graduation,2,Negatif,Positif,Positif,positive,positive
"@yunpnzr Lah kok balik tanya, hubungannya kampus sama proses seleksi berkas apaan? Jawab dulu. Malah meleber ke yang lain",hubung kampus proses seleksi berkas leber,1,Netral,Netral,Negatif,neutral,negative
"@bro.swryz dan apalagi yang gak ikut interview dan test apa2 tau2 di website keterima, lebih lawak si hahahah",interview test apa tau website terima lawak hahahah,0,Netral,Negatif,Positif,neutral,negative
"Dahalh, gw sampe mimpi ,gak keterima. deg deg setiap harus tpi gk dpt e-mail apa. *",dahalh mimpi terima deg deg email,1,Netral,Positif,Negatif,neutral,negative
@ryanh_aldebaran sotau,sotau,0,Netral,Positif,Netral,negative,neutral
@dekara.ninsa nah waktu gue ikut tes CPNS banyak kasus yang gak lolos administrasi tapi gak jelas gagal dimana. Pas di cek lah ada pemalsuan dokumen. Kata gue untung aja gak kena jeratan hukum ,tes cpns lolos administrasi gagal mana pas cek palsu dokumen untung kena jerat hukum,0,Negatif,Negatif,Negatif,neutral,negative
@bro.swryz btw ente pernah ikut seleksi pemerintah gak? Serius nanya,ngomong-ngomong ente seleksi perintah serius,1,Negatif,Negatif,Netral,positive,negative
"@_andrieseprian sabarrrr""""",sabarrrr,2,Netral,Positif,Netral,positive,positive
Ada yang sama nggak dengan aku udah offering dari tanggal 6 tapi sampai sekarang belum ada invite group atau informasi selanjutnya gimana padahal aku magang di luar kota.Mohon penjelasannya minO @magangmerdeka,offering tanggal invite group informasi magang kotamohon jelas,1,Positif,Netral,Netral,neutral,negative
"@dekara.ninsa Kalau keterangan dari msib dan dr kampus, Banding itu bukan revisi tapi recheck ulang dokumen, jd yg diunggah itu dokumen yg sama dengan di platform. Justru katanya kalau berusaha merevisi dokumen bakalan di blacklist",terang msib kampus banding revisi recheck ulang dokumen unggah dokumen platform usaha revisi dokumen blacklist,1,Positif,Netral,Negatif,neutral,negative
"@denifebriansyh iya kak, bebal bgt tuh mereka, gue sejak batch 2 smpe skrg belum kesempatan ya Krn pihak msib kaya selalu tutup mata tutup telinga. Gak sigap nginfoin, terkesan seadanya dan ga profesional. Web nya pun gitu gabisa buat tinjau berkas.",bebal banget tuh batch sempat msib kayak tutup mata tutup telinga sigap nginfoin kes ada profesional web enggak bisa tinjau berkas,0,Positif,Negatif,Negatif,negative,negative
"@andir1_ ngga kak memang masih proses tadi pagi ada balasan email dari kampus merdeka kalau proses seleksi MSIB masih berlangsung, dsrh menunggu dluOû",proses pagi balas email kampus merdeka proses seleksi msib dsrh tunggu,1,Netral,Netral,Netral,neutral,neutral
@bro.swryz dia ngerubah isi doc ga bro? Biasanya dia tau salahnya dimana. Makanya reupload ulang.,ngerubah isi doc saudara laki salah mana reupload ulang,1,Negatif,Negatif,Netral,neutral,negative
berarti proses seleksi ga tranparan dong? klo pihak kampus merdeka udh nyeleksi dan mengadakan aju banding berkas kenapa ga disebar secara merata dan penutupan aju banding cepet dari tanggal pembukaan? banyak temen temen yg lain bilang ini permasalahan dari batch 1 sampe skrng dan ga berubah dari dulu,proses seleksi tranparan kampus merdeka nyeleksi ada aju banding berkas sebar rata tutup aju banding cepat tanggal buka teman teman bilang masalah batch ubah,0,Negatif,Negatif,Negatif,neutral,negative
@j.ilhamp itu gk llus bro. Kbtulan ini thun ke 2 gw ikut tpi masih sama jga dgn thum sblmnya,llus saudara laki kbtulan thum,1,Netral,Negatif,Negatif,neutral,negative
"@adhlslsa itu ditolak, kak",tolak,0,Netral,Negatif,Negatif,negative,negative
"@dekara.ninsa Yang emang lalai itu ada, tp gabisa digeneralisasi juga semua yang salah itu karena lalai dan sengaja salah. Buktinya ada kok yg habis banding bisa verified. Brati ada kemungkinan pengecekan pertana itu kesalahan dr pihak verifikasi kan? Info banding ga semua dapet karena ada yg baru tau berkasnya setelah tgl 27 yg mana banding udah ditutup",lalai enggak bisa generalisasi salah lalai sengaja salah bukti habis banding verified brati kece pertana salah verifikasi informasi banding berkas tanggal banding tutup,0,Negatif,Negatif,Negatif,negative,negative
Kesempatan aku udah hilang r,sempat hilang,0,Netral,Negatif,Negatif,negative,negative
@_erlanggadwiputra materainya nyomot google kaga? Ttdnya tempelan kaga? Temen gw kek gitu soalnya.,materainya nyomot google ttdnya tempel teman kayak,0,Netral,Negatif,Negatif,neutral,negative
"@3721________ ada tutor di yutub kak, itu terbukti bisa karena saya dikonfirmasi mitra juga klu verkasnya ada yg salah",tutor yutub bukti konfirmasi mitra verkasnya salah,1,Netral,Netral,Netral,neutral,neutral
"@bro.swryz temen gw ngotot bgt berkas dia bener. Sampe protes marah marah. Pas gw cek ternyata materai dia nyomot dari google. Yaa jelas ga lolos lah. Ini salah satu contoh ada org ngotot berkas bener. Tapi ga peduliin point materai, ttd dsb itu penting.",teman ngotot banget berkas protes marah marah pas cek materai nyomot google lolos salah contoh orang ngotot berkas peduli point materai ttd dsb,0,Negatif,Negatif,Negatif,negative,negative
@devsely cara cek dokumen kita itu eligible gimana yaa kak?,cek dokumen eligible,1,Netral,Netral,Netral,neutral,neutral
@_erlanggadwiputra cara cek dokumen kita itu eligible gimana yaa?,cek dokumen eligible,1,Netral,Netral,Netral,neutral,neutral
"@yunpnzr 79K mas, gak usah asal bunyi lagi dahh, jumlah peserta aja salah",79k bunyi deh serta salah,0,Negatif,Negatif,Netral,negative,negative
"@yunpnzr ya mas, mitra ama PIC kampus aja gk bisa bantu ngecekin. Justru itu yg kita tuntut, transparansi biar dicek apa salah upload. Klu dicek ya baik2 aja filenya lebih better berkasku dibanding temenku yg gak nyantumin ttd ama kop.",mitra pic kampus bantu ngecekin tuntut transparansi biar cek salah upload cek baik filenya better berkas banding temenku nyantumin ttd kop,0,Netral,Negatif,Negatif,neutral,negative
"ngurus berkas sulitnya minta ampun, eh gada kbr",urus berkas sulit ampun eh enggak ada kabar,0,Negatif,Negatif,Negatif,negative,negative
@adrian_wbsn kalo ga di Terima minimal kasih kabar biar nggak berharap. btw saya juga korban,terima minimal kasih kabar biar harap ngomong-ngomong korban,0,Negatif,Negatif,Negatif,neutral,negative
Buat adik2 diinget2 ya buat batch/tahun depan. Brightness materai > CV & kualifikasi,adik2 diinget2 batchtahun brightness materai cv kualifikasi,1,Netral,Netral,Netral,neutral,neutral
"@denifebriansyh kalo feeling gw (belum tentu benar), yang nyeleksi sr sama sptjm nya kampus merdeka bro. Mitra itu bisa liat berkas sisanya (cv dll).",feeling nyeleksi sr sptjm kampus merdeka saudara laki mitra lihat berkas sisa cv dan lain,2,Netral,Netral,Netral,neutral,neutral
"gua dapet undangan dr mitra bro, udh dimasukin grupnya lgi. Proses seleksi berkas itu eligible atau ngga itu dimitra ato dr pihak kampus merdeka? status SR reject lo. Itu berkas di seleksi dibagian apa coba?",undang mitra saudara laki masuk grup proses seleksi berkas eligible mitra kampus merdeka status sr reject berkas seleksi bagi coba,1,Netral,Netral,Netral,neutral,negative
@hshshdoang onboarding prushaan tgl 16 leh nak ato?,onboarding prushaan tanggal nak,1,Netral,Negatif,Netral,negative,neutral
"bangun pemuda-pemudi, Indonesia :"")",bangun pemudapemudi indonesia,1,Netral,Netral,Netral,neutral,neutral
"@j.ilhamp patokannya itu bukan dari status website, tapi dari lu dapet undangan (wa/email) dari mitra buat recruitment process selanjutnya (entah itu tes, intv, atau apapun). Selama gak ada undangan recruitment process selanjutnya, berarti gausah berharap. Arti status diproses di website itu artinya mitra sudah liat dokumen lu",patok status website undang waemail mitra recruitment process tes intv apa undang recruitment process enggak usah harap arti status proses website mitra lihat dokumen,1,Netral,Netral,Netral,neutral,negative
Kabarnya sampai kiamat di proses terus kak :<,kabar kiamat proses,0,Netral,Negatif,Netral,negative,negative
"@adrian_wbsn patokannya itu bukan dari status website bro, tapi dari dapet atau tidaknya undangan recruitment process dari mitra (entah itu tes, interview, atau apapun itu). Kalo gak dapat undangan buat lanjut recruitment ke tahap selanjutnya berarti gak lolos. Status di website diproses itu artinya dokumen lu udah dilihat dan masuk ke proses seleksi oleh mitra.",patok status website saudara laki tidak undang recruitment process mitra tes interview apa undang recruitment tahap lolos status website proses dokumen masuk proses seleksi mitra,0,Netral,Negatif,Netral,neutral,negative
"@arthasth._ setauku yg bisa ngerubah status dari sudah daftar -> proses -> diterima, itu urusan masing2 mitra melalui tim recruiter mereka. denger2 kalo emg ada yg ga lolos tim recruiter mls buat ngerubah status ke tidak lolos mengingat banyaknya yg daftar.",tau ngerubah status daftar proses terima urus mitra tim recruiter denger2 lolos tim recruiter malas ngerubah status lolos banyak daftar,0,Positif,Negatif,Negatif,negative,negative
"Setidaknya di bagian kegiatan tempat magang di kasih tulisan tdk lolos, biar kami para pendaftar lainnya tdk terantung begini,,, klo tertulis proses kami berspekulasi bahwa masih ada harapan atau masih proses pendaftarn / seleksi,,, panitia mohon di baca dan klarifikasi dong,,, semua anak muda indonesia butuh kesamaan jangan hanya di pilih2 ,, klo pilih2 begini mau taruh dimana sila pancasila yang hari2 di baca ulang2 ,, percuma saja",giat magang kasih tulis lolos biar daftar terantung tulis proses spekulasi harap proses pendaftarn seleksi panitia mohon baca klarifikasi anak muda indonesia butuh sama pilih2 pilih2 taruh mana sila pancasila hari baca ulang2,0,Positif,Negatif,Negatif,neutral,negative
"@nadiemmakarim dengan segala hormat pak menteri, mungkin bisa disesuaikan lagi programnya berdasarkan hasil evaluasi di periode ini semoga bisa menjadi lebih baik lagiOû",hormat menteri sesuai program dasar hasil evaluasi periode moga,2,Netral,Netral,Netral,neutral,neutral
kasih kejelasan klo emng di tolak.,kasih jelas tolak,0,Positif,Negatif,Netral,neutral,negative
@rachel.marla iya kasian statusnya diproses aja gada kejelasan,kasihan status proses enggak ada jelas,0,Negatif,Negatif,Negatif,negative,negative
@bro.swryz aneh dan mengsedih,aneh mengsedih,0,Negatif,Negatif,Negatif,negative,negative
"@myvatnash Gua bingung sama responnya dia, kok tiba2 sampe kampus apa hubungannya-",bingung responnya kampus hubung,0,Negatif,Negatif,Negatif,neutral,negative
@yunpnzr Hah? Lu daftar msib ga si? Hubungannya sama kampus apaan? Kaget gua jawabannya kaga nyambungy,hah daftar msib hubung kampus kaget jawab sambung,0,Negatif,Negatif,Negatif,neutral,negative
"@yunpnzr status berkas keluar tbtb ga eligible itu karena dari sistemnya yang tbtb berubah, bukan dari kampus tbtb ngeluarin status wkk",status berkas tbtb eligible sistem tbtb ubah kampus tbtb keluar status wkk,1,Netral,Netral,Negatif,neutral,negative
@_erlanggadwiputra udah bangggg--,bangggg,1,Netral,Negatif,Netral,negative,positive
ga cakap intelektual ni penyelenggara...,cakap intelektual selenggara,0,Positif,Positif,Negatif,neutral,neutral
"3 bulan mati matian persiapan, tp yg lolos cuma modal berkas eligible, bukan skill yg diliat harusnya urusan berkas di filter di awall",mati mati siap lolos modal berkas eligible skill urus berkas filter awall,0,Positif,Negatif,Negatif,negative,negative
"@bro.swryz ya kalo urusan berkas itu mah urusan mahasiswa sama kampus mas. Penyelenggara gak peduli, gampangnya salah sendiri ngeluarinnya diluar dari jadwal. Itu udah resiko masing-masing ditanggung peserta. Gak sekalian lu nuntut pendaftaran & revisi sampe tanggal 31 Desember 2023?",urus berkas mah urus mahasiswa kampus selenggara peduli gampang salah ngeluarinnya luar jadwal resiko masingmasing tanggung serta tuntut daftar revisi tanggal desember,0,Positif,Negatif,Negatif,negative,negative
"Bener banget, serasa di gantungin astaga udah penuh harapan tapi kalau kaya gini langsung down C",banget serasa gantungin astaga penuh harap kayak langsung down,0,Positif,Negatif,Negatif,negative,negative
@rachel.marla semisal lwt dri tgl 11 kemungkinan udh ga lolos mas,tanggal lolos,1,Netral,Netral,Netral,neutral,negative
@adrian_wbsn bner nih broth?,broth,1,Netral,Positif,Netral,negative,neutral
@yunpnzr Baru dari mananya bro? udah batch 4 lho. Kalau ada orang kritik membangun itu diterima dan dijadikan masukkan bukan malah menormalisasi kesalahan. Hadeh,mana saudara laki batch lho orang kritik bangun terima jadi masuk normalisasi salah hadeh,2,Netral,Negatif,Negatif,negative,negative
"@ ya baguslah, soalnya saya baca komen dari kmrn sih, keluhan mereka yang sma sma mengurus tp salah satunya ga eligible",bagus baca komen kemarin keluh urus salah satu eligible,2,Netral,Positif,Positif,negative,negative
Kecewa gk lg lg deh ikutan kalau sistem nya masih seperti ini,kecewa deh ikut sistem,0,Negatif,Negatif,Negatif,negative,negative
Kasih kejelasan setidaknua buat tidak lolos,kasih jelas setidaknua lolos,1,Positif,Positif,Negatif,positive,neutral
"@yunpnzr Lha memang ada kesalahan, makanya pada protes. Ga semua banding dicek banyak yg statusnya masih on review sampe sekarang. Bahkan ada yang status berkasnya baru keluar tanggal 30 sedangkan banding udah ditutup tgl 27. Trus mau gimana kalau gitu?",salah protes banding cek status on review status berkas tanggal banding tutup tanggal,0,Negatif,Negatif,Negatif,neutral,negative
@tntkswl_ Malee bgt bgsddd mandang kampus wkwkwkwk,malee banget bgsddd mandang kampus wkwkwkwk,0,Positif,Negatif,Negatif,negative,negative
"@babu_abu_abu namanya juga program masih baru, resiko ditanggung pendaftar. Jangan kaget diginiin, karna pas lu udah lulus kuliah lebih gak jelas lagi sistem seleksinya. Jadi anggap aja ini simulasi seleksi bertahan hidupO",nama program resiko tanggung daftar kaget begini pas lulus kuliah sistem seleksi anggap simulasi seleksi tahan hidup,0,Netral,Negatif,Negatif,neutral,negative
"@herdodp kurang tau kalau bangkit, tapi yang pasti kalau bangkit, yang ga lolos tetep nerima email informasi ga lolos",bangkit bangkit lolos terima email informasi lolos,0,Netral,Netral,Negatif,neutral,negative
@gastrovast tgl 16 masih pembekalan??,tanggal bekal,1,Netral,Negatif,Netral,neutral,neutral
"@bro.swryz ya berarti kalo begitu ada kesalahan cek berkas. Kan yang di cek gak cuma ente doang. Animonya aja sampe ratusan ribu peserta loh. Kalo gitu balik lagi ke pesertanya, kenapa gak mau aju banding kalo ada kesalahan? L",salah cek berkas cek ente doang animo ratus ribu serta loh serta aju banding salah l,0,Negatif,Negatif,Negatif,neutral,negative
@babu_abu_abu Banyak yang banding dan berubah jadi verified. Brati ada kemungkinan di verifikasi pertama ada miss dr sistemnya. Kenapa orang² pada denial ya kak:((,banding ubah verified brati verifikasi miss sistem orang denial,0,Netral,Netral,Negatif,neutral,negative
@herdodp ga ada kak Bangkit,bangkit,1,Netral,Positif,Negatif,negative,negative
@adrian_wbsn sediih amatr,sediih,0,Netral,Positif,Netral,positive,positive
MSIB batch 4 kacau. Minimal kasih kejelasan kepada mahasiswa,msib batch kacau minimal kasih jelas mahasiswa,0,Negatif,Negatif,Negatif,negative,negative
"@adhlslsa berasa dighosting""",asa dighosting,0,Netral,Negatif,Positif,neutral,negative
@adrian_wbsn wkwkw asliii kak,wkwkw asli,1,Positif,Positif,Netral,positive,neutral
"Masak ,dh sampai tgl 13 masi di proses Mulu , setidaknya di kasih tau ,lolos apa enggak nya",masak deh tanggal proses melulu kasih lolos,0,Negatif,Netral,Netral,negative,negative
@yunpnzr ceknya gmn bro? Udh telat kok. Semuanya udh terjadi. Pihak msib yg kurang sosialisasi soal pencegahan begini2,cek saudara laki lambat msib sosialisasi cegah begini2,0,Negatif,Negatif,Negatif,neutral,negative
"Tolong di kasih kejelasan lah min""",tolong kasih jelas,1,Positif,Netral,Netral,neutral,negative
@yunpnzr Wduuw bestie gua banding jadi verified bro. Banding kan cuma recheck doank tanpa revisi. Brati sistem juga bisa salah kan? Trus berapa banyak org di luar sana yang kaga salah tapi dianggep salah sama sistem?,wduuw bestie banding verified saudara laki banding recheck doang revisi brati sistem salah orang salah dianggep salah sistem,2,Negatif,Negatif,Negatif,negative,negative
@bochiillll @cicumgarcum kut yo,kut,0,Netral,Netral,Netral,negative,negative
@lucki_atmaja kalau mitra bangkit sosmed nya apa ya kak?,mitra bangkit sosmed,1,Netral,Netral,Netral,positive,neutral
"@_erlanggadwiputra coba cek lagi file yang udah di scan, pastinada poin yang gak kebaca pas scanning seperti materai yang gak berwarna, cap gak terbaca jelas, ada yang burem, dll",coba cek file scan pastinada poin baca pas scanning materai warna cap baca buram dan lain,2,Netral,Netral,Netral,neutral,negative
"@bro.swryz pasti ada yang salah itu berkasnya, coba cek lagi",salah berkas coba cek,2,Negatif,Netral,Netral,neutral,negative
"@adhlslsa iyaaa, ga ada tahap selanjutnya kah? tautau share info offering sampe tgl 16feb ini. gimana Pak? @magangmerdeka",tahap kah tautau share informasi offering tanggal 16feb,1,Netral,Netral,Netral,neutral,neutral
@dndaaaws_ pasti ada salah satu unsur yang gak kebaca pas scanning. Coba perhatiin lagi,salah unsur baca pas scanning coba perhati,1,Netral,Netral,Negatif,negative,negative
@alammaulanaaa__ cek di ig/web mitra,cek igweb mitra,1,Netral,Netral,Netral,neutral,neutral
"@alammaulanaaa__ coba crosscheck satu per satu mitra, pada udah mulai offering atau belum, kalau gw gitu di cek satu persatu, kalau udah pada offering ya yaudah jangan berharap",coba crosscheck mitra offering cek satu offering ya sudah harap,2,Netral,Netral,Negatif,neutral,negative
"panitianya gimana nih urus berkasnya? beberapa komen gue baca, ada yang urus berkasnya dari awal sampai akhir sama temannya, berkas sama smua ga ada yang beda, tp tmn nya eligible dan dia ga eligible? kalian pakai cara cap cip cup ya??",panitia urus berkas komen baca urus berkas teman berkas beda teman eligible eligible pakai cap cip cup,0,Netral,Netral,Negatif,neutral,negative
@j.ilhamp saya coba tanyakan ke email MSIB nya..dapet balesan bahwa sampai tgl 15 juga masih proses seleksi oleh mitra.. semoga ajaaa...huhu.. dan semoga aja ada perpanjangan sama seperti awal pendaftaran MSIB pun ada perpanjangan..hehehe,coba email msib nyadapet balesan tanggal proses seleksi mitra moga ajaaahuhu moga panjang daftar msib perpanjanganhehehe,2,Negatif,Netral,Netral,neutral,neutral
"Temen gua eligible, gua engga. Padahal ketiplek tiplek isi berkas semuanya sama wong ngurusnya bareng pas ke kampus wkwkwkwk",teman eligible ketiplek tiplek isi berkas ngurusnya bareng pas kampus wkwkwkwk,0,Netral,Negatif,Negatif,neutral,negative
@rachel.marla sabar aja,sabar,1,Netral,Positif,Positif,positive,positive
gimana mau kompetitif sialan orang yang diliat eligibilas berkas wkwk,kompetitif sial orang eligibilas berkas wkwk,0,Netral,Negatif,Negatif,negative,negative
"@adrian_wbsn aku dapat 10 tawaran, wkwk tapi pilih Sekolah Ekspor ajah",tawar wkwk pilih sekolah ekspor,1,Netral,Negatif,Netral,neutral,neutral
ngepost gini dibaca ga si komennya?,ngepost baca komennya,1,Netral,Positif,Negatif,negative,negative
@rachel.marla benerr nihh huhu,huhu,1,Netral,Negatif,Positif,positive,negative
ini gimana ya yg statusnya masih prosessssss?,status prosessssss,1,Netral,Positif,Negatif,negative,negative
"Ketahuilah, dibalik gebyar onboarding besok, ada ribuan mahasiswa yang dirugikan karena berkas mereka yang sejatinya benar tapi dianggap salahO Sukses buat temen2 yang lancar dalam proses seleksi. Salam dari kami yang emang belum rejekinya di sini dan harus gagal karena berkas yang belum tentu kami salahd",tahu balik gebyar onboarding besok ribu mahasiswa rugi berkas sejati anggap salah sukses teman lancar proses seleksi salam rejekinya gagal berkas salah,0,Positif,Negatif,Negatif,negative,negative
@adrian_wbsn Dari batch 1 udah kayak gini dan sampe batch 4 ga dibenerinO salut,batch kayak batch dibenerin salut,0,Netral,Negatif,Positif,negative,positive
Diproses = ditolak ges wkwkwk,proses tolak ges wkwkwk,0,Netral,Negatif,Negatif,negative,negative
"@pitasrr_ dapat infonya dari mana kk?, wah jadi masih ada harapan nih",info harap,2,Netral,Netral,Netral,neutral,neutral
@andir1_ maaf katanya mundur lagi,maaf mundur,1,Negatif,Negatif,Netral,negative,neutral
@andir1_ dilamar MSIB sampai tgl 15,lamar msib tanggal,1,Netral,Negatif,Netral,neutral,neutral
@andir1_ bukanya tanggal 15 ya batasnya kak,buka tanggal batas,1,Netral,Netral,Netral,neutral,neutral
Masih ada harapan ga sih? C,harap,1,Netral,Netral,Netral,positive,negative
"@ibrahim.bram.35762 maaf kk menjawab, udah nggak keterima mungkin kk, karna batas pengumumannya tanggal 11",maaf terima batas umum tanggal,1,Negatif,Netral,Netral,neutral,neutral
"Min, buat yg gaketerima dikasih info dong lolos apa engga? Di MBKM Diproses mulu wkwk",gaketerima kasih informasi lolos mbkm proses melulu wkwk,0,Netral,Negatif,Netral,negative,negative
@j.ilhamp iya kak sama sy juga sampai skrg blm dapat kabar ni,kabar,1,Netral,Netral,Netral,positive,negative
"Okeh, belum rejeki ygy",okeh rezeki ygy,0,Positif,Positif,Negatif,negative,negative
"MSIB masih proses terus nih""",msib proses,1,Netral,Positif,Netral,positive,negative
@spontanahuy kalau hari ini blm ada email atau tlp dari pihak msib berarti besar kemungkinan ga lolos ya?,email telepon msib lolos,1,Netral,Netral,Netral,neutral,negative
@ilham_andika_ turu aja dek,turu adik,1,Netral,Positif,Netral,positive,neutral
@ptrairwn_ tag cobaa,tag coba,1,Netral,Netral,Netral,positive,neutral
@adrian_syahhh22 tak tau saya wkwkwj,wkwkwj,1,Netral,Negatif,Netral,positive,negative
@ptrairwn_ kampus kita gimana ya wkwkwkwwk,kampus wkwkwkwwk,1,Netral,Negatif,Netral,positive,neutral
Simulasi Survey Kebhinekaan sudah dilaksanakan pada hari ini. Terima kasih Bapak/Ibu Panitia Pusat MSIB.,simulasi survey kebhinekaan laksana terima kasih bapakibu panitia pusat msib,2,Netral,Netral,Netral,neutral,neutral
@ema.hakimah untuk info lolos tidaknya apakah disampaikan le2at email bu?,informasi lolos tidak le2at email bu,1,Netral,Netral,Netral,neutral,neutral
@lindamanullang07 pertanyaan yang sama..info bisa dilihat dimana y,samainfo mana,1,Netral,Negatif,Netral,positive,neutral
@lindamanullang07 pertanyaan yang sama..info bisa dilihat dimana y,samainfo mana,1,Netral,Negatif,Netral,positive,neutral
@upepeul pertanyaan yang sama..lihat infonya dimana y,samalihat info mana,1,Netral,Netral,Netral,neutral,neutral
"@ema.hakimah kalo hanya simulasi, loginnya harus registrasi dulu kak, kalo udah survei baru pake username dan password yang didapatkan dari email",simulasi loginnya registrasi survei pakai username password dapat email,1,Netral,Netral,Netral,neutral,neutral
@ema.hakimah saya juga mengalami hal yang sama. Admin @magangmerdeka mohon dibantu,alami admin mohon bantu,1,Positif,Netral,Netral,neutral,neutral
Saya mau ikut survei belum bs masuk? adakah yg bs membantu...password salah saat dimasukkn,survei masuk ada membantupassword salah dimasukkn,1,Negatif,Netral,Netral,neutral,neutral
"@nyepammyy_ tergantung hrd nya si, kalau aku pribadi sore",gantung hrd pribadi sore,1,Netral,Netral,Netral,neutral,neutral
@julius_trbb99 iya kak itu status proses akan diganti jika sudah memasuki jadwal berjalannya kegiatan.  Semangat terus jgn terpaku nunggu kabar... Realistis aja klo seminggu ga ada kabar udh fokus yang lain,status proses ganti pasuk jadwal jalan giat semangat terpa tunggu kabar realistis minggu kabar fokus,0,Positif,Netral,Netral,neutral,negative
"@keyfira_anggrayni fokuslah ke yang lain saja, ketika sdh lebih dari 1 minggu tidak ada kabar",fokus minggu kabar,1,Netral,Positif,Netral,positive,neutral
@ryan.als di tlpon nya saat jam kantor ka?,tlpon jam kantor,1,Netral,Netral,Netral,neutral,neutral
@keyfira_anggrayni Masi diproses jga ka,proses,1,Netral,Positif,Netral,negative,neutral
@keyfira_anggrayni Masih diproses di aku,proses,1,Netral,Positif,Netral,negative,neutral
"Admin mohon keejalasn buat kami yg status tempat magang masih berproses ini artinya apa ?? Tolong dong jangan hanya di baca bru di abaikan,,, setidaknya kalau kami yg lain tdk lolos seleksi di statusnya harus tertuli tdk lolos seleksi,,,",admin mohon keejalasn status magang proses tolong baca abai lolos seleksi status tuli lolos seleksiklo tulis proses daftar berpsekulasi proses seleksi lanjut sama transparasi,0,Netral,Netral,Netral,neutral,neutral
"@nyepammyy_ iyaa kak, udh ada pengumumannya blm kak?",umum,1,Positif,Positif,Netral,positive,neutral
@keyfira_anggrayni bpjs ketenagakerjaan ya ka?,bpjs ketenagakerjaan,1,Netral,Netral,Netral,neutral,neutral
"@nuel.naibaho dari yg saya baca, kebetulan saya ditelp 2 hari yg lalu baru muncul notifikasi lulusnya di platform",baca ditelp muncul notifikasi lulus platform,1,Netral,Netral,Netral,neutral,neutral
@gastrovast tgl 16 aja masih survei kebhinekaan calon DPP-,tanggal survei kebhinekaan calon dpp,1,Netral,Netral,Netral,neutral,positive
@ryan.als info darimana??,informasi darimana,1,Netral,Negatif,Negatif,negative,negative
ada yg daftar di bpjs? udah ada yg dapet pengumuman lolos atau tidak lolos blm yaa,daftar bpjs umum lolos lolos,1,Positif,Netral,Netral,neutral,neutral
klo yg udah lolos tahap administrasi dari mitra itu blum berarti lolos ya?,lolos tahap administrasi mitra lolos,1,Netral,Netral,Netral,neutral,neutral
"MIN INI KOK DAPET WA BISA DITERIMA OFFERING SAMPE TGL 14, TAPI KOK HARI INI AKU CEK DI WEB UDAH GAADA?",wa terima offering tanggal cek web enggak ada,0,Netral,Negatif,Negatif,neutral,negative
Besar kemungkinan tidak lolos sippp,lolos sippp,0,Netral,Positif,Netral,negative,neutral
Berasa kek digantung pasanganL,asa kayak gantung pasang,0,Netral,Negatif,Negatif,positive,negative
"@ilham_andika_ harapan magang?, udh dari kemaren kan pengumumannya",harap magang kemarin umum,1,Netral,Netral,Netral,neutral,neutral
Ini sudah pengumuman calon DPP ya min? Melalui apa ya min?,umum calon dpp,1,Positif,Netral,Netral,neutral,neutral
"@klandes10_fikrie kalau tidak ada undangan recruitment process dari mitra di wa ato email yang mengundang utk ikut test, interview, atau apapun itu, kemungkinan besar tidak lolos. Patokannya di recruitment process mitra ya, bukan di status website",undang recruitment process mitra wa email undang test interview apa lolos patok recruitment process mitra status website,2,Netral,Netral,Netral,neutral,negative
"@akhsannurkholish kalau semisal gaada undangan recruitment process dari mitra (email atau wa), berarti kemungkinan besar tidak lolos. Patokannya bukan status di website mbkm, tapi recruitment process mitra",enggak ada undang recruitment process mitra email wa lolos patok status website mbkm recruitment process mitra,2,Netral,Netral,Netral,neutral,neutral
"@spontanahuy kalo gaada recruitment process dari mitra (ga dapet email ato wa yang mengundang test, interview, atau semacamnya) berarti kemungkinan ga lolos. Patokannya bukan status proses di website, tapi dari recruitment processnya mitra",enggak ada recruitment process mitra email wa undang test interview macam lolos patok status proses website recruitment processnya mitra,2,Netral,Netral,Netral,neutral,negative
Ini untuk dosen PT mahasiswa yang ikut msib batch 4 ya min??,dosen pt mahasiswa msib batch,1,Netral,Netral,Netral,neutral,neutral
