,comment,clean
430,"@dekara.ninsa Yang emang lalai itu ada, tp gabisa digeneralisasi juga semua yang salah itu karena lalai dan sengaja salah. Buktinya ada kok yg habis banding bisa verified. Brati ada kemungkinan pengecekan pertana itu kesalahan dr pihak verifikasi kan? Info banding ga semua dapet karena ada yg baru tau berkasnya setelah tgl 27 yg mana banding udah ditutup",lalai enggak bisa generalisasi salah lalai sengaja salah bukti habis banding verified brati kece pertana salah verifikasi informasi banding berkas tanggal banding tutup
431,Kesempatan aku udah hilang 🥲,sempat hilang
432,@_erlanggadwiputra materainya nyomot google kaga? Ttdnya tempelan kaga? Temen gw kek gitu soalnya.,materainya nyomot google ttdnya tempel teman kayak
433,"@3721________ ada tutor di yutub kak, itu terbukti bisa karena saya dikonfirmasi mitra juga klu verkasnya ada yg salah",tutor yutub bukti konfirmasi mitra verkasnya salah
434,"@bro.swryz temen gw ngotot bgt berkas dia bener. Sampe protes marah marah. Pas gw cek ternyata materai dia nyomot dari google. Yaa jelas ga lolos lah. Ini salah satu contoh ada org ngotot berkas bener. Tapi ga peduliin point materai, ttd dsb itu penting.",teman ngotot banget berkas protes marah marah pas cek materai nyomot google lolos salah contoh orang ngotot berkas peduli point materai ttd dsb
435,@devsely cara cek dokumen kita itu eligible gimana yaa kak?,cek dokumen eligible
436,@_erlanggadwiputra cara cek dokumen kita itu eligible gimana yaa?,cek dokumen eligible
437,"@yunpnzr 79K mas, gak usah asal bunyi lagi dahh, jumlah peserta aja salah",79k bunyi deh serta salah
438,"@yunpnzr ya mas, mitra ama PIC kampus aja gk bisa bantu ngecekin. Justru itu yg kita tuntut, transparansi biar dicek apa salah upload. Klu dicek ya baik2 aja filenya lebih better berkasku dibanding temenku yg gak nyantumin ttd ama kop.",mitra pic kampus bantu ngecekin tuntut transparansi biar cek salah upload cek baik filenya better berkas banding temenku nyantumin ttd kop
439,"ngurus berkas sulitnya minta ampun, eh gada kbr",urus berkas sulit ampun eh enggak ada kabar
440,@adrian_wbsn kalo ga di Terima minimal kasih kabar biar nggak berharap. btw saya juga korban,terima minimal kasih kabar biar harap ngomong-ngomong korban
441,Buat adik2 diinget2 ya buat batch/tahun depan. Brightness materai > CV & kualifikasi,adik2 diinget2 batchtahun brightness materai cv kualifikasi
442,"@denifebriansyh kalo feeling gw (belum tentu benar), yang nyeleksi sr sama sptjm nya kampus merdeka bro. Mitra itu bisa liat berkas sisanya (cv dll).",feeling nyeleksi sr sptjm kampus merdeka saudara laki mitra lihat berkas sisa cv dan lain
443,"gua dapet undangan dr mitra bro, udh dimasukin grupnya lgi. Proses seleksi berkas itu eligible atau ngga itu dimitra ato dr pihak kampus merdeka? status SR reject lo. Itu berkas di seleksi dibagian apa coba?",undang mitra saudara laki masuk grup proses seleksi berkas eligible mitra kampus merdeka status sr reject berkas seleksi bagi coba
444,@hshshdoang onboarding prushaan tgl 16 leh nak ato?,onboarding prushaan tanggal nak
445,"bangun pemuda-pemudi, Indonesia :"")",bangun pemudapemudi indonesia
446,"@j.ilhamp patokannya itu bukan dari status website, tapi dari lu dapet undangan (wa/email) dari mitra buat recruitment process selanjutnya (entah itu tes, intv, atau apapun). Selama gak ada undangan recruitment process selanjutnya, berarti gausah berharap. Arti status diproses di website itu artinya mitra sudah liat dokumen lu",patok status website undang waemail mitra recruitment process tes intv apa undang recruitment process enggak usah harap arti status proses website mitra lihat dokumen
447,Kabarnya sampai kiamat di proses terus kak :<,kabar kiamat proses
448,@m.riswan09_,
449,"@adrian_wbsn patokannya itu bukan dari status website bro, tapi dari dapet atau tidaknya undangan recruitment process dari mitra (entah itu tes, interview, atau apapun itu). Kalo gak dapat undangan buat lanjut recruitment ke tahap selanjutnya berarti gak lolos. Status di website diproses itu artinya dokumen lu udah dilihat dan masuk ke proses seleksi oleh mitra.",patok status website saudara laki tidak undang recruitment process mitra tes interview apa undang recruitment tahap lolos status website proses dokumen masuk proses seleksi mitra
450,"@arthasth._ setauku yg bisa ngerubah status dari sudah daftar -> proses -> diterima, itu urusan masing2 mitra melalui tim recruiter mereka. denger2 kalo emg ada yg ga lolos tim recruiter mls buat ngerubah status ke tidak lolos mengingat banyaknya yg daftar.",tau ngerubah status daftar proses terima urus mitra tim recruiter denger2 lolos tim recruiter malas ngerubah status lolos banyak daftar
451,NT kak 😅,
452,"Setidaknya di bagian kegiatan tempat magang di kasih tulisan tdk lolos, biar kami para pendaftar lainnya tdk terantung begini,,, klo tertulis proses kami berspekulasi bahwa masih ada harapan atau masih proses pendaftarn / seleksi,,, panitia mohon di baca dan klarifikasi dong,,, semua anak muda indonesia butuh kesamaan jangan hanya di pilih2 ,, klo pilih2 begini mau taruh dimana sila pancasila yang hari2 di baca ulang2 ,, percuma saja",giat magang kasih tulis lolos biar daftar terantung tulis proses spekulasi harap proses pendaftarn seleksi panitia mohon baca klarifikasi anak muda indonesia butuh sama pilih2 pilih2 taruh mana sila pancasila hari baca ulang2
453,"@nadiemmakarim dengan segala hormat pak menteri, mungkin bisa disesuaikan lagi programnya berdasarkan hasil evaluasi di periode ini semoga bisa menjadi lebih baik lagi🙏🏻",hormat menteri sesuai program dasar hasil evaluasi periode moga
454,kasih kejelasan klo emng di tolak.,kasih jelas tolak
455,@rachel.marla iya kasian statusnya diproses aja gada kejelasan,kasihan status proses enggak ada jelas
456,@bro.swryz aneh dan mengsedih,aneh mengsedih
457,"@myvatnash Gua bingung sama responnya dia, kok tiba2 sampe kampus apa hubungannya😭",bingung responnya kampus hubung
458,@yunpnzr Hah? Lu daftar msib ga si? Hubungannya sama kampus apaan? Kaget gua jawabannya kaga nyambung🥹,hah daftar msib hubung kampus kaget jawab sambung
459,"@yunpnzr  status berkas keluar tbtb ga eligible itu karena dari sistemnya yang tbtb berubah, bukan dari kampus tbtb ngeluarin status wkk",status berkas tbtb eligible sistem tbtb ubah kampus tbtb keluar status wkk
460,@_erlanggadwiputra udah bangggg😭😭,bangggg
461,ga cakap intelektual ni penyelenggara...,cakap intelektual selenggara
462,"3 bulan mati matian persiapan, tp yg lolos cuma modal berkas eligible, bukan skill yg diliat😂 harusnya urusan berkas di filter di awall",mati mati siap lolos modal berkas eligible skill urus berkas filter awall
463,"@bro.swryz ya kalo urusan berkas itu mah urusan mahasiswa sama kampus mas. Penyelenggara gak peduli, gampangnya salah sendiri ngeluarinnya diluar dari jadwal. Itu udah resiko masing-masing ditanggung peserta. Gak sekalian lu nuntut pendaftaran & revisi sampe tanggal 31 Desember 2023?",urus berkas mah urus mahasiswa kampus selenggara peduli gampang salah ngeluarinnya luar jadwal resiko masingmasing tanggung serta tuntut daftar revisi tanggal desember
464,"Bener banget, serasa di gantungin astaga udah penuh harapan tapi kalau kaya gini langsung down 🙃",banget serasa gantungin astaga penuh harap kayak langsung down
465,@rachel.marla semisal lwt dri tgl 11 kemungkinan udh ga lolos mas,tanggal lolos
466,@adrian_wbsn bner nih broth?,broth
467,@yunpnzr  Baru dari mananya bro? udah batch 4 lho. Kalau ada orang kritik membangun itu diterima dan dijadikan masukkan bukan malah menormalisasi kesalahan. Hadeh,mana saudara laki batch lho orang kritik bangun terima jadi masuk normalisasi salah hadeh
468,"@ ya baguslah, soalnya saya baca komen dari kmrn sih, keluhan mereka yang sma sma mengurus tp salah satunya ga eligible",bagus baca komen kemarin keluh urus salah satu eligible
469,Kecewa😂 gk lg lg deh ikutan kalau sistem nya masih seperti ini,kecewa deh ikut sistem
470,Kasih kejelasan setidaknua buat tidak lolos,kasih jelas setidaknua lolos
471,"@yunpnzr Lha memang ada kesalahan, makanya pada protes😂. Ga semua banding dicek banyak yg statusnya masih on review sampe sekarang. Bahkan ada yang status berkasnya baru keluar tanggal 30 sedangkan banding udah ditutup tgl 27. Trus mau gimana kalau gitu?",salah protes banding cek status on review status berkas tanggal banding tutup tanggal
472,@tntkswl_  Malee bgt bgsddd mandang kampus wkwkwkwk,malee banget bgsddd mandang kampus wkwkwkwk
473,"@babu_abu_abu namanya juga program masih baru, resiko ditanggung pendaftar. Jangan kaget diginiin, karna pas lu udah lulus kuliah lebih gak jelas lagi sistem seleksinya. Jadi anggap aja ini simulasi seleksi bertahan hidup🙏",nama program resiko tanggung daftar kaget begini pas lulus kuliah sistem seleksi anggap simulasi seleksi tahan hidup
474,"@herdodp kurang tau kalau bangkit, tapi yang pasti kalau bangkit, yang ga lolos tetep nerima email informasi ga lolos",bangkit bangkit lolos terima email informasi lolos
475,@gastrovast tgl 16 masih pembekalan??,tanggal bekal
476,"@bro.swryz ya berarti kalo begitu ada kesalahan cek berkas. Kan yang di cek gak cuma ente doang. Animonya aja sampe ratusan ribu peserta loh. Kalo gitu balik lagi ke pesertanya, kenapa gak mau aju banding kalo ada kesalahan? L",salah cek berkas cek ente doang animo ratus ribu serta loh serta aju banding salah l
477,@trushnasla yo,
478,@babu_abu_abu Banyak yang banding dan berubah jadi verified. Brati ada kemungkinan di verifikasi pertama ada miss dr sistemnya. Kenapa orang² pada denial ya kak:((,banding ubah verified brati verifikasi miss sistem orang denial
479,@herdodp ga ada kak Bangkit,bangkit
480,@adrian_wbsn sediih amat🥲,sediih
481,MSIB batch 4 kacau. Minimal kasih kejelasan kepada mahasiswa,msib batch kacau minimal kasih jelas mahasiswa
482,@adhlslsa berasa dighosting😢,asa dighosting
483,@adrian_wbsn wkwkw asliii kak,wkwkw asli
484,❤️,
485,"Masak ,dh sampai tgl 13 masi di proses Mulu , setidaknya di kasih tau ,lolos apa enggak nya",masak deh tanggal proses melulu kasih lolos
486,@yunpnzr ceknya gmn bro? Udh telat kok. Semuanya udh terjadi. Pihak msib yg kurang sosialisasi soal pencegahan begini2,cek saudara laki lambat msib sosialisasi cegah begini2
487,Tolong di kasih kejelasan lah min😢,tolong kasih jelas
488,@yunpnzr Wduuw bestie gua banding jadi verified bro. Banding kan cuma recheck doank tanpa revisi. Brati sistem juga bisa salah kan? Trus berapa banyak org di luar sana yang kaga salah tapi dianggep salah sama sistem?,wduuw bestie banding verified saudara laki banding recheck doang revisi brati sistem salah orang salah dianggep salah sistem
489,@bochiillll @cicumgarcum kut yo,kut
490,@lucki_atmaja kalau mitra bangkit sosmed nya apa ya kak?,mitra bangkit sosmed
491,"@_erlanggadwiputra coba cek lagi file yang udah di scan, pastinada poin yang gak kebaca pas scanning seperti materai yang gak berwarna, cap gak terbaca jelas, ada yang burem, dll",coba cek file scan pastinada poin baca pas scanning materai warna cap baca buram dan lain
492,"@bro.swryz pasti ada yang salah itu berkasnya, coba cek lagi",salah berkas coba cek
493,"@adhlslsa iyaaa, ga ada tahap selanjutnya kah? tautau share info offering sampe tgl 16feb ini. gimana Pak? @magangmerdeka",tahap kah tautau share informasi offering tanggal 16feb
494,@dndaaaws_ pasti ada salah satu unsur yang gak kebaca pas scanning. Coba perhatiin lagi,salah unsur baca pas scanning coba perhati
495,@alammaulanaaa__ cek di ig/web mitra,cek igweb mitra
496,"@alammaulanaaa__ coba crosscheck satu per satu mitra, pada udah mulai offering atau belum, kalau gw gitu di cek satu persatu, kalau udah pada offering ya yaudah jangan berharap",coba crosscheck mitra offering cek satu offering ya sudah harap
497,"panitianya gimana nih urus berkasnya? beberapa komen gue baca, ada yang urus berkasnya dari awal sampai akhir sama temannya, berkas sama smua ga ada yang beda, tp tmn nya eligible dan dia ga eligible? kalian pakai cara cap cip cup ya??",panitia urus berkas komen baca urus berkas teman berkas beda teman eligible eligible pakai cap cip cup
498,@j.ilhamp saya coba tanyakan ke email MSIB nya..dapet balesan bahwa sampai tgl 15 juga masih proses seleksi oleh mitra.. semoga ajaaa...huhu.. dan semoga aja ada perpanjangan sama seperti awal pendaftaran MSIB pun ada perpanjangan..hehehe,coba email msib nyadapet balesan tanggal proses seleksi mitra moga ajaaahuhu moga panjang daftar msib perpanjanganhehehe
499,"Temen gua eligible, gua engga. Padahal ketiplek tiplek isi berkas semuanya sama wong ngurusnya bareng pas ke kampus wkwkwkwk",teman eligible ketiplek tiplek isi berkas ngurusnya bareng pas kampus wkwkwkwk
500,@apradanirmala @heitalll_,
501,@0_rya,
502,@rachel.marla sabar aja,sabar
503,gimana mau kompetitif sialan orang yang diliat eligibilas berkas wkwk,kompetitif sial orang eligibilas berkas wkwk
504,"@adrian_wbsn aku dapat 10 tawaran, wkwk tapi pilih Sekolah Ekspor ajah",tawar wkwk pilih sekolah ekspor
505,❤️,
506,ngepost gini dibaca ga si komennya?,ngepost baca komennya
507,@rachel.marla benerr nihh huhu,huhu
508,ini gimana ya yg statusnya masih prosessssss?,status prosessssss
509,siap,
510,"Ketahuilah, dibalik gebyar onboarding besok, ada ribuan mahasiswa yang dirugikan karena berkas mereka yang sejatinya benar tapi dianggap salah👏 Sukses buat temen2 yang lancar dalam proses seleksi. Salam dari kami yang emang belum rejekinya di sini dan harus gagal karena berkas yang belum tentu kami salah❤️",tahu balik gebyar onboarding besok ribu mahasiswa rugi berkas sejati anggap salah sukses teman lancar proses seleksi salam rejekinya gagal berkas salah
511,@rissww.andi__,
512,@erikaaacp,
513,@adrian_wbsn Dari batch 1 udah kayak gini dan sampe batch 4 ga dibenerin👏 salut,batch kayak batch dibenerin salut
514,Diproses = ditolak ges wkwkwk,proses tolak ges wkwkwk
515,@srianadewi_ @anggy_listiaa @sulistiaa30 @soniaa_dalimunthe @9_sabinaa,
516,"@pitasrr_ dapat infonya dari mana kk?, wah jadi masih ada harapan nih",info harap
517,@andir1_ maaf katanya mundur lagi,maaf mundur
518,@andir1_ dilamar MSIB sampai tgl 15,lamar msib tanggal
519,@andir1_ bukanya tanggal 15 ya batasnya kak,buka tanggal batas
520,Masih ada harapan ga sih? 🙃,harap
521,"@ibrahim.bram.35762 maaf kk menjawab, udah nggak keterima mungkin kk, karna batas pengumumannya tanggal 11",maaf terima batas umum tanggal
522,@brewijaya 🙌🙌🙌🙌,
523,"Min, buat yg gaketerima dikasih info dong lolos apa engga? Di MBKM Diproses mulu wkwk",gaketerima kasih informasi lolos mbkm proses melulu wkwk
524,@tugusputra123 @dwayucamilla ✨✨✨,
525,@j.ilhamp iya kak sama sy juga sampai skrg blm dapat kabar ni,kabar
526,"Okeh, belum rejeki ygy",okeh rezeki ygy
527,MSIB masih proses terus nih😢🤔,msib proses
528,@spontanahuy kalau hari ini blm ada email atau tlp dari pihak msib berarti besar kemungkinan ga lolos ya?,email telepon msib lolos
529,@ilham_andika_ turu aja dek,turu adik
530,@ci.ucii6 gimna?,
531,@spontanahuy @herlinaylrt_,
532,@ptrairwn_ tag cobaa,tag coba
533,@adrian_syahhh22 tak tau saya wkwkwj,wkwkwj
534,@ptrairwn_ kampus kita gimana ya wkwkwkwwk,kampus wkwkwkwwk
535,Simulasi Survey Kebhinekaan sudah dilaksanakan pada hari ini. Terima kasih Bapak/Ibu Panitia Pusat MSIB.,simulasi survey kebhinekaan laksana terima kasih bapakibu panitia pusat msib
536,@ema.hakimah untuk info lolos tidaknya apakah disampaikan le2at email bu?,informasi lolos tidak le2at email bu
537,@lindamanullang07 pertanyaan yang sama..info bisa dilihat dimana y,samainfo mana
538,@lindamanullang07 pertanyaan yang sama..info bisa dilihat dimana y,samainfo mana
539,@upepeul pertanyaan yang sama..lihat infonya dimana y,samalihat info mana
540,"Iya sama @ema.hakimah,solusinya gimana ya",
541,"@ema.hakimah kalo hanya simulasi, loginnya harus registrasi dulu kak, kalo udah survei baru pake username dan password yang didapatkan dari email",simulasi loginnya registrasi survei pakai username password dapat email
542,@ema.hakimah saya juga mengalami hal yang sama. Admin @magangmerdeka mohon dibantu,alami admin mohon bantu
543,Saya mau ikut survei belum bs masuk? adakah yg bs membantu...password salah saat dimasukkn,survei masuk ada membantupassword salah dimasukkn
544,"@nyepammyy_ tergantung hrd nya si, kalau aku pribadi sore",gantung hrd pribadi sore
545,@julius_trbb99 iya kak itu status proses akan diganti jika sudah memasuki jadwal berjalannya kegiatan. 😁 Semangat terus jgn terpaku nunggu kabar... Realistis aja klo seminggu ga ada kabar udh fokus yang lain,status proses ganti pasuk jadwal jalan giat semangat terpa tunggu kabar realistis minggu kabar fokus
546,"@keyfira_anggrayni fokuslah ke yang lain saja, ketika sdh lebih dari 1 minggu tidak ada kabar",fokus minggu kabar
547,@ryan.als di tlpon nya saat jam kantor ka?,tlpon jam kantor
548,@keyfira_anggrayni Masi diproses jga ka,proses
549,@keyfira_anggrayni Masih diproses di aku,proses
550,@keyfira_anggrayni iyaa belum ada ka,
551,"Admin mohon keejalasn buat kami yg status tempat magang masih berproses ini artinya apa ?? Tolong dong jangan hanya di baca bru di abaikan,,, setidaknya kalau kami yg lain tdk lolos seleksi di statusnya harus tertuli tdk lolos seleksi,,,
Klo seperti tertulis “proses” kami pendaftar yg lain akan berpsekulasi bahwa proses seleksi masih berlanjut,, setidaknya ada persamaan dan transparasi🙏🏽",admin mohon keejalasn status magang proses tolong baca abai lolos seleksi status tuli lolos seleksiklo tulis proses daftar berpsekulasi proses seleksi lanjut sama transparasi
552,"@nyepammyy_ iyaa kak, udh ada pengumumannya blm kak?",umum
553,@keyfira_anggrayni bpjs ketenagakerjaan ya ka?,bpjs ketenagakerjaan
554,"@nuel.naibaho dari yg saya baca”, kebetulan saya ditelp 2 hari yg lalu baru muncul notifikasi lulusnya di platform",baca ditelp muncul notifikasi lulus platform
555,@gastrovast tgl 16 aja masih survei kebhinekaan calon DPP😭😌,tanggal survei kebhinekaan calon dpp
556,@ryan.als info darimana??,informasi darimana
557,@keyfira_anggrayni blm ada nihh,
558,ada yg daftar di bpjs? udah ada yg dapet pengumuman lolos atau tidak lolos blm yaa,daftar bpjs umum lolos lolos
559,klo yg udah lolos tahap administrasi dari mitra itu blum berarti lolos ya?,lolos tahap administrasi mitra lolos
560,"MIN INI KOK DAPET WA BISA DITERIMA OFFERING SAMPE TGL 14, TAPI KOK HARI INI AKU CEK DI WEB UDAH GAADA?",wa terima offering tanggal cek web enggak ada
561,Nt,
562,Besar kemungkinan tidak lolos sippp,lolos sippp
563,Berasa kek digantung pasangan🙌,asa kayak gantung pasang
564,"@ilham_andika_ harapan magang?, udh dari kemaren kan pengumumannya",harap magang kemarin umum
565,Ini sudah pengumuman calon DPP ya min? Melalui apa ya min?,umum calon dpp
566,😢,
567,"@klandes10_fikrie kalau tidak ada undangan recruitment process dari mitra di wa ato email yang mengundang utk ikut test, interview,  atau apapun itu, kemungkinan besar tidak lolos. Patokannya di recruitment process mitra ya, bukan di status website",undang recruitment process mitra wa email undang test interview apa lolos patok recruitment process mitra status website
568,"@akhsannurkholish kalau semisal gaada undangan recruitment process dari mitra (email atau wa), berarti kemungkinan besar tidak lolos. Patokannya bukan status di website mbkm, tapi recruitment process mitra",enggak ada undang recruitment process mitra email wa lolos patok status website mbkm recruitment process mitra
569,"@spontanahuy kalo gaada recruitment process dari mitra (ga dapet email ato wa yang mengundang test, interview, atau semacamnya) berarti kemungkinan ga lolos. Patokannya bukan status proses di website, tapi dari recruitment processnya mitra",enggak ada recruitment process mitra email wa undang test interview macam lolos patok status proses website recruitment processnya mitra
570,Ini untuk dosen PT mahasiswa yang ikut msib batch 4 ya min??,dosen pt mahasiswa msib batch
571,"@klandes10_fikrie ada kok di email, tapi mitranya yang ngabarin kalo misal ga lolos",email mitra ngabarin lolos
572,yg saya knpa mitra nya masih dalam proses??,mitra proses
573,Semoga masih ada harapan 🙏,moga harap
574,Dah lah,deh
575,"@spontanahuy udah terakhir kayanya, cek terus aja offering nya di platform",kayak cek offering platform
576,Ya Allah ini sudah tanggal 13 masa di platform dan email tidak ada pemberitahuan sama sekali,allah tanggal platform email pemberitahuan
577,@spontanahuy tanggal 15 terakhirnya 🙏🏻 ada bbrpa perusahaan yg masih nerima. Tunggu email & ditelp aja ka,tanggal akhir usaha terima tunggu email ditelp
578,@spontanahuy ga ush berharap lgi udh tgl segini wkwk,harap tanggal gin wkwk
579,@spontanahuy asliii butuh kepastian,asli butuh pasti
580,Siapa saja yg lolos utk ikut survei diinfokan dimna ya,lolos survei info dimna
581,Jadi min untuk pengumuman magang merdeka nya udah selesai ya? Tolong direspon biar ga berharap lagi :(,umum magang merdeka selesai tolong direspon biar harap
